Jour,Poule,Oeufs
Lundi,Kokot,3
Lundi,Madame Mim,4
Lundi,Chickitta,2
Lundi,Clara Cluck,4
Mardi,Kokot,2
Mardi,Madame Mim,6
Mardi,Chickitta,1
Mardi,Clara Cluck,4
Mercredi,Kokot,1
Mercredi,Madame Mim,1
Mercredi,Chickitta,2
Mercredi,Clara Cluck,3
Jeudi,Kokot,4
Jeudi,Madame Mim,3
Jeudi,Chickitta,1
Jeudi,Clara Cluck,7
Vendredi,Kokot,2
Vendredi,Madame Mim,3
Vendredi,Chickitta,2
Vendredi,Clara Cluck,4
Samedi,Kokot,3
Samedi,Madame Mim,6
Samedi,Chickitta,3
Samedi,Clara Cluck,5
Dimanche,Kokot,2
Dimanche,Madame Mim,5
Dimanche,Chickitta,2
Dimanche,Clara Cluck,6
